neighbourhood,price,listing_count,distance_km,number_of_reviews,price_score,location_score,demand_score,investment_score
Vinegar Hill,187.1764705882353,34,1.6697058823529414,16.029411764705884,23.4,95.8,13.5,42.1
Wakefield,85.58,50,20.458199999999998,25.58,10.7,48.5,21.6,25.3
Washington Heights,88.59688195991092,898,9.554621380846324,19.10913140311804,11.1,75.9,16.1,32.0
West Brighton,80.55555555555556,18,17.157777777777778,36.44444444444444,10.1,56.8,30.8,30.3
West Farms,122.0,2,12.954999999999998,3.5,15.2,67.4,3.0,27.2
West Village,238.48339973439576,753,2.0885790172642764,19.636122177954846,29.8,94.7,16.6,45.3
Westchester Square,122.2,10,15.612,15.5,15.3,60.7,13.1,28.3
Westerleigh,71.5,2,20.37,9.0,8.9,48.7,7.6,20.5
Whitestone,107.54545454545455,11,16.35363636363636,22.636363636363637,13.4,58.8,19.1,28.7
Williamsbridge,96.75,40,18.5065,28.45,12.1,53.4,24.0,28.1
Williamsburg,139.1584335807525,3907,5.153803429741489,21.8574353724085,17.4,87.0,18.4,38.6
Willowbrook,249.0,1,21.78,9.0,31.1,45.2,7.6,28.3
Windsor Terrace,138.9936305732484,157,7.851210191082803,27.54140127388535,17.4,80.2,23.2,38.0
Woodhaven,67.17045454545455,88,15.585909090909091,31.727272727272727,8.4,60.8,26.8,29.6
Woodlawn,60.09090909090909,11,20.046363636363637,44.0,7.5,49.5,37.1,29.0
Woodrow,700.0,1,33.23,0.0,87.5,16.4,0.0,39.9
Woodside,85.09787234042552,235,8.861829787234043,21.425531914893618,10.6,77.7,18.1,33.0
