neighbourhood_cleansed,price,listing_count,distance_km,number_of_reviews,price_score,location_score,demand_score,investment_score
St. Albans,121.21,100,25.871199999999998,43.57,11.6,35.2,21.8,21.7
St. George,119.03571428571429,28,13.361785714285714,56.035714285714285,11.4,66.5,28.0,32.9
Stapleton,119.0,17,14.625294117647059,44.411764705882355,11.4,63.3,22.2,30.2
Stuyvesant Town,313.70588235294116,17,2.3917647058823532,13.529411764705882,30.1,94.0,6.8,42.3
Sunnyside,110.77697841726619,139,7.295539568345324,38.223021582733814,10.6,81.7,19.1,34.5
Sunset Park,132.4093567251462,171,8.06783625730994,54.77777777777778,12.7,79.8,27.4,37.2
Theater District,460.04954954954957,222,0.40315315315315314,34.085585585585584,44.2,99.0,17.0,52.5
Throgs Neck,140.0,25,17.1988,21.24,13.4,56.9,10.6,25.6
Todt Hill,385.2,5,20.466,4.8,37.0,48.7,2.4,30.1
Tompkinsville,118.6,40,14.70475,38.475,11.4,63.1,19.2,29.2
Tottenville,128.8,5,39.894,53.2,12.4,0.0,26.6,12.9
Tremont,106.91666666666667,12,12.373333333333333,12.5,10.3,69.0,6.2,26.7
Tribeca,655.9333333333333,105,1.9537142857142855,19.18095238095238,63.0,95.1,9.6,56.6
Two Bridges,205.53333333333333,15,0.856,16.733333333333334,19.7,97.9,8.4,39.8
Unionport,158.3846153846154,13,14.493846153846155,29.76923076923077,15.2,63.7,14.9,29.7
University Heights,94.25,4,12.8875,22.25,9.0,67.7,11.1,27.2
Upper East Side,285.0332963374029,901,2.103906770255272,13.763596004439512,27.4,94.7,6.9,41.4
Upper West Side,311.65577889447235,796,1.8514447236180904,20.452261306532662,29.9,95.4,10.2,43.6
Van Nest,169.0,12,14.384166666666667,35.5,16.2,63.9,17.8,31.0
Vinegar Hill,305.2142857142857,14,1.7114285714285715,27.357142857142858,29.3,95.7,13.7,44.5
Wakefield,103.37037037037037,54,20.73851851851852,31.85185185185185,9.9,48.0,15.9,23.1
Washington Heights,106.53469387755102,245,9.456122448979592,31.102040816326532,10.2,76.3,15.6,31.6
West Brighton,92.47619047619048,21,16.974761904761905,31.095238095238095,8.9,57.5,15.5,25.5
West Farms,144.0,2,12.545,1.5,13.8,68.6,0.8,26.3
West Village,495.0497925311203,241,2.9400414937759334,22.87551867219917,47.5,92.6,11.4,50.2
Westchester Square,110.33333333333333,6,15.71,21.666666666666668,10.6,60.6,10.8,25.7
Westerleigh,173.0,4,20.17,12.0,16.6,49.4,6.0,23.3
Whitestone,123.93333333333334,15,16.621333333333332,61.6,11.9,58.3,30.8,31.5
Williamsbridge,85.74285714285715,35,18.421142857142858,20.514285714285716,8.2,53.8,10.3,22.5
Williamsburg,215.77085927770858,803,5.06373599003736,34.378580323785805,20.7,87.3,17.2,39.6
Willowbrook,213.5,2,21.82,27.5,20.5,45.3,13.8,25.9
Windsor Terrace,198.26530612244898,49,7.659387755102041,50.0,19.0,80.8,25.0,39.3
Woodhaven,95.22222222222223,63,15.625714285714285,31.61904761904762,9.1,60.8,15.8,26.6
Woodlawn,150.16666666666666,6,20.451666666666668,14.5,14.4,48.7,7.2,22.5
Woodrow,59.0,2,31.815,2.0,5.7,20.3,1.0,8.7
Woodside,95.2560975609756,164,8.998231707317073,31.01829268292683,9.1,77.4,15.5,31.5
