neighbourhood_cleansed,price,listing_count,distance_km,number_of_reviews,price_score,location_score,demand_score,investment_score
Randall Manor,171.23529411764707,17,16.378823529411765,33.294117647058826,28.5,58.9,16.6,34.0
Red Hook,193.95238095238096,21,4.580952380952381,61.80952380952381,32.3,88.5,30.9,48.7
Rego Park,119.62857142857143,35,14.160571428571428,46.42857142857143,19.9,64.5,23.2,34.3
Richmond Hill,114.51315789473684,76,18.481973684210526,36.25,19.1,53.7,18.1,29.2
Ridgewood,125.17840375586854,213,10.31037558685446,22.525821596244132,20.9,74.2,11.3,34.0
Riverdale,175.0,1,16.1,37.0,29.2,59.6,18.5,35.1
Rockaway Beach,158.1086956521739,46,26.79108695652174,46.630434782608695,26.4,32.8,23.3,27.4
Roosevelt Island,219.19230769230768,26,3.3969230769230765,42.26923076923077,36.5,91.5,21.1,48.4
Rosebank,86.42857142857143,7,15.734285714285715,41.857142857142854,14.4,60.6,20.9,30.2
Rosedale,133.96385542168676,83,29.866024096385544,44.08433734939759,22.3,25.1,22.0,23.0
Rossville,137.66666666666666,3,32.016666666666666,1.3333333333333333,22.9,19.7,0.7,15.3
Schuylerville,116.14285714285714,7,17.122857142857143,13.285714285714286,19.4,57.1,6.6,26.9
Sea Gate,142.75,16,18.935625,29.4375,23.8,52.5,14.7,29.7
Sheepshead Bay,153.37333333333333,75,17.217866666666666,53.42666666666667,25.6,56.8,26.7,35.3
Shore Acres,98.57142857142857,7,16.47,27.0,16.4,58.7,13.5,28.2
Silver Lake,149.4,5,17.286,84.4,24.9,56.7,42.2,39.6
SoHo,418.34513274336285,113,2.639203539823009,39.78761061946903,69.7,93.4,19.9,61.9
Soundview,119.66666666666667,15,12.224666666666668,17.333333333333332,19.9,69.4,8.7,31.4
South Beach,107.2,10,19.993000000000002,26.4,17.9,49.9,13.2,26.1
South Ozone Park,167.89285714285714,56,21.835892857142856,71.44642857142857,28.0,45.3,35.7,35.5
South Slope,184.38666666666666,75,6.215066666666667,57.76,30.7,84.4,28.9,46.3
Springfield Gardens,163.20192307692307,104,26.981346153846154,42.00961538461539,27.2,32.4,21.0,26.9
Spuyten Duyvil,196.75,4,15.5125,40.5,32.8,61.1,20.2,37.5
St. Albans,121.21,100,25.871199999999998,43.57,20.2,35.2,21.8,25.2
St. George,119.03571428571429,28,13.361785714285714,56.035714285714285,19.8,66.5,28.0,36.3
Stapleton,119.0,17,14.625294117647059,44.411764705882355,19.8,63.3,22.2,33.6
Stuyvesant Town,313.70588235294116,17,2.3917647058823532,13.529411764705882,52.3,94.0,6.8,51.2
Sunnyside,110.77697841726619,139,7.295539568345324,38.223021582733814,18.5,81.7,19.1,37.6
Sunset Park,127.30588235294118,170,8.06635294117647,55.07058823529412,21.2,79.8,27.5,40.7
Theater District,438.40277777777777,216,0.4055555555555555,34.763888888888886,73.1,99.0,17.4,64.2
